date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol
2025-02-24,602.02,603.03,596.49,597.21,595.42,50737213,50737213,-4.81,-0.79898,599.6875,"February 24, 25",-0.0079898,SPY
2025-02-21,610.16,610.3,599.47,599.94,598.14,76519818,76519818,-10.22,-1.67,604.9675,"February 21, 25",-0.0167,SPY
2025-02-20,611.54,611.68,607.02,610.38,608.55,36554002,36554002,-1.16,-0.18969,610.155,"February 20, 25",-0.0018969,SPY
2025-02-19,610.08,613.23,609.56,612.93,611.09,31011100,31011100,2.85,0.46715,611.45,"February 19, 25",0.0046715,SPY
2025-02-18,610.88,611.49,608.38,611.49,609.66,26749030,26749030,0.61,0.09985595,610.56,"February 18, 25",0.0009985595,SPY
2025-02-14,609.94,610.99,609.07,609.7,607.87,26910448,26910448,-0.24,-0.03934813,609.925,"February 14, 25",-0.0003934813,SPY
2025-02-13,604.48,609.94,603.2,609.73,607.9,40921300,40921300,5.25,0.86852,606.8375,"February 13, 25",0.0086852,SPY
2025-02-12,599.2,604.55,598.51,603.36,601.55,45076100,45076100,4.16,0.69426,601.405,"February 12, 25",0.0069426,SPY
2025-02-11,602.55,605.86,602.43,605.31,603.5,30056740,30056740,2.76,0.45805,604.0375,"February 11, 25",0.0045805,SPY
2025-02-10,604.03,605.5,602.74,604.85,603.04,26048714,26048714,0.82,0.13575,604.28,"February 10, 25",0.0013575,SPY
2025-02-07,606.89,608.13,600.05,600.77,598.97,50788516,50788516,-6.12,-1.01,603.96,"February 07, 25",-0.0101,SPY
2025-02-06,605.99,606.45,602.63,606.32,604.5,35771503,35771503,0.33,0.05445634,605.3475,"February 06, 25",0.0005445634,SPY
2025-02-05,600.64,604.37,598.58,604.22,602.41,30653149,30653149,3.58,0.59603,601.9525,"February 05, 25",0.0059603,SPY
2025-02-04,597.83,602.3,597.28,601.78,599.98,33457815,33457815,3.95,0.66072,599.7975,"February 04, 25",0.0066072,SPY
2025-02-03,592.67,600.29,590.49,597.77,595.98,65857248,65857248,5.1,0.86051,595.305,"February 03, 25",0.0086051,SPY
2025-01-31,607.5,609.96,601.05,601.82,600.02,66671500,66671500,-5.68,-0.93498,605.0825,"January 31, 25",-0.0093498,SPY
2025-01-30,603.96,606.6,600.72,605.04,603.23,39281300,39281300,1.08,0.17882,604.08,"January 30, 25",0.0017882,SPY
2025-01-29,603.72,604.13,599.22,601.81,600.01,37177429,37177429,-1.91,-0.31637,602.22,"January 29, 25",-0.0031637,SPY
2025-01-28,600.62,605.37,597.25,604.52,602.71,44433322,44433322,3.9,0.64933,601.94,"January 28, 25",0.0064933,SPY
2025-01-27,594.81,599.69,594.64,599.37,597.57,70361125,70361125,4.56,0.76663,597.1275,"January 27, 25",0.0076663,SPY
2025-01-24,609.81,610.78,606.8,607.97,606.15,34604700,34604700,-1.84,-0.30173,608.84,"January 24, 25",-0.0030173,SPY
2025-01-23,605.8,609.75,605.52,609.75,607.92,41152102,41152102,3.95,0.65203,607.705,"January 23, 25",0.0065203,SPY
2025-01-22,605.92,607.82,605.36,606.44,604.62,48196000,48196000,0.52,0.08581991,606.385,"January 22, 25",0.0008581991,SPY
2025-01-21,600.67,603.06,598.67,603.05,601.24,42532900,42532900,2.38,0.39622,601.3625,"January 21, 25",0.0039622,SPY
2025-01-17,596.96,599.36,595.61,597.58,595.79,58070628,58070628,0.62,0.10386,597.3775,"January 17, 25",0.0010386,SPY
2025-01-16,594.17,594.35,590.93,591.64,589.87,43319700,43319700,-2.53,-0.4258,592.7725,"January 16, 25",-0.004258,SPY
2025-01-15,590.33,593.94,589.2,592.78,591.0,56900200,56900200,2.45,0.41502,591.5625,"January 15, 25",0.0041502,SPY
2025-01-14,584.36,585.0,578.35,582.19,580.44,48420600,48420600,-2.17,-0.37135,582.475,"January 14, 25",-0.0037135,SPY
2025-01-13,575.77,581.75,575.35,581.39,579.65,47910100,47910100,5.62,0.97608,578.565,"January 13, 25",0.0097608,SPY
2025-01-10,585.88,585.95,578.55,580.49,578.75,73105046,73105046,-5.39,-0.91998,582.7175,"January 10, 25",-0.0091998,SPY
2025-01-08,588.7,590.58,585.2,589.49,587.72,47304700,47304700,0.79,0.13419,588.4925,"January 08, 25",0.0013419,SPY
2025-01-07,597.42,597.75,586.78,588.63,586.87,60393100,60393100,-8.79,-1.47,592.645,"January 07, 25",-0.0147,SPY
2025-01-06,596.27,599.7,593.6,595.36,593.57,47679442,47679442,-0.91,-0.15262,596.2325,"January 06, 25",-0.0015262,SPY
2025-01-03,587.53,592.6,586.43,591.95,590.18,37888500,37888500,4.42,0.7523,589.6275,"January 03, 25",0.007523,SPY
2025-01-02,589.39,591.13,580.5,584.64,582.89,50204000,50204000,-4.75,-0.80592,586.415,"January 02, 25",-0.0080592,SPY
2024-12-31,589.91,590.64,584.42,586.08,584.32,57052700,57052700,-3.82,-0.64925,587.7625,"December 31, 24",-0.0064925,SPY
2024-12-30,587.89,591.74,584.41,588.22,586.46,56578800,56578800,0.33,0.05613295,588.065,"December 30, 24",0.0005613295,SPY
2024-12-27,597.54,597.78,590.76,595.01,593.23,64969310,64969310,-2.53,-0.4234,595.2725,"December 27, 24",-0.004234,SPY
2024-12-26,599.5,602.48,598.08,601.34,599.54,41338891,41338891,1.84,0.30692,600.35,"December 26, 24",0.0030692,SPY
2024-12-24,596.06,601.34,595.47,601.3,599.5,33160100,33160100,5.24,0.87911,598.5425,"December 24, 24",0.0087911,SPY
2024-12-23,590.89,595.3,587.66,594.69,592.91,57635828,57635828,3.8,0.6431,592.135,"December 23, 24",0.006431,SPY
2024-12-20,581.77,595.75,580.91,591.15,589.38,125716700,125716700,9.38,1.61,587.395,"December 20, 24",0.0161,SPY
2024-12-19,591.36,593.0,585.85,586.1,582.38,85919500,85919500,-5.26,-0.88948,589.0775,"December 19, 24",-0.0088948,SPY
2024-12-18,603.98,606.41,585.89,586.28,582.56,108248729,108248729,-17.7,-2.93,595.64,"December 18, 24",-0.0293,SPY
2024-12-17,604.19,605.17,602.89,604.29,600.46,55773545,55773545,0.1,0.01655108,604.135,"December 17, 24",0.0001655108,SPY
2024-12-16,606.0,607.78,605.21,606.79,602.94,43695200,43695200,0.79,0.13036,606.445,"December 16, 24",0.0013036,SPY
2024-12-13,606.4,607.13,602.81,604.21,600.38,35904730,35904730,-2.19,-0.36115,605.1375,"December 13, 24",-0.0036115,SPY
2024-12-12,606.58,607.16,604.33,604.33,600.5,31543812,31543812,-2.25,-0.37093,605.6,"December 12, 24",-0.0037093,SPY
2024-12-11,605.78,608.43,605.5,607.46,603.61,28677723,28677723,1.68,0.27733,606.7925,"December 11, 24",0.0027733,SPY
